ID;StartDate;EndDate;Duration (in seconds);Finished;UserLanguage;Consent;non,blameAc;non,blameSelf;non,praiseAc;non,praiseSelf;ignorant,praiseAc;ignorant,praiseSelf;ignorant,blame,AC;ignorant,blameSelf;Gender;Age
58;2026-03-16 14:50:29;2026-03-16 14:53:14;164;1;EN-GB;1;7;7;;;;;;;1;20
59;2026-03-16 14:51:21;2026-03-16 14:53:18;116;1;EN-GB;1;;;;;;;7;4;2;50
60;2026-03-16 14:49:48;2026-03-16 14:53:22;213;1;EN-GB;1;;;;;2;6;;;2;51
61;2026-03-16 14:51:05;2026-03-16 14:53:24;139;1;EN-GB;1;;;5;5;;;;;1;41
62;2026-03-16 14:51:03;2026-03-16 14:53:24;141;1;EN-GB;1;7;7;;;;;;;2;34
63;2026-03-16 14:51:01;2026-03-16 14:53:27;146;1;EN-GB;1;;;2;5;;;;;1;37
64;2026-03-16 14:50:38;2026-03-16 14:53:28;170;1;EN-GB;1;;;;;;;7;1;1;26
65;2026-03-16 14:50:46;2026-03-16 14:53:28;162;1;EN-GB;1;7;1;;;;;;;2;49
66;2026-03-16 14:50:23;2026-03-16 14:53:32;189;1;EN-GB;1;;;;;3;5;;;1;53
67;2026-03-16 14:50:24;2026-03-16 14:53:35;190;1;EN-GB;1;;;2;3;;;;;2;38
68;2026-03-16 14:50:20;2026-03-16 14:53:36;195;1;EN-GB;1;7;7;;;;;;;2;44
69;2026-03-16 14:50:57;2026-03-16 14:53:39;162;1;EN-GB;1;;;;;4;4;;;1;64
70;2026-03-16 14:50:35;2026-03-16 14:53:45;190;1;EN-GB;1;;;;;4;5;;;2;24
71;2026-03-16 14:52:00;2026-03-16 14:53:48;108;1;EN-GB;1;7;7;;;;;;;2;42
72;2026-03-16 14:50:33;2026-03-16 14:53:49;195;1;EN-GB;1;;;5;4;;;;;2;30
73;2026-03-16 14:50:20;2026-03-16 14:53:49;209;1;EN-GB;1;7;7;;;;;;;1;48
74;2026-03-16 14:50:24;2026-03-16 14:53:50;206;1;EN-GB;1;;;;;6;4;;;1;42
75;2026-03-16 14:50:58;2026-03-16 14:53:52;173;1;EN-GB;1;;;;;;;7;7;1;55
76;2026-03-16 14:49:45;2026-03-16 14:53:54;249;1;EN-GB;1;;;6;6;;;;;2;43
77;2026-03-16 14:51:10;2026-03-16 14:53:59;169;1;EN-GB;1;;;6;5;;;;;1;55
78;2026-03-16 14:50:01;2026-03-16 14:54:03;242;1;EN-GB;1;7;1;;;;;;;1;72
79;2026-03-16 14:52:34;2026-03-16 14:54:04;90;1;EN-GB;1;;;;;5;5;;;2;37
80;2026-03-16 14:50:15;2026-03-16 14:54:11;235;1;EN-GB;1;;;3;5;;;;;1;44
81;2026-03-16 14:52:39;2026-03-16 14:54:14;94;1;EN-GB;1;7;7;;;;;;;1;47
82;2026-03-16 14:53:21;2026-03-16 14:54:15;53;1;EN-GB;1;7;7;;;;;;;2;32
83;2026-03-16 14:52:14;2026-03-16 14:54:20;126;1;EN-GB;1;7;6;;;;;;;2;30
84;2026-03-16 14:51:52;2026-03-16 14:54:22;149;1;EN-GB;1;;;1;2;;;;;2;57
85;2026-03-16 14:49:28;2026-03-16 14:54:29;300;1;EN-GB;1;;;;;;;7;6;2;69
86;2026-03-16 14:52:13;2026-03-16 14:54:29;136;1;EN-GB;1;;;1;3;;;;;1;45
87;2026-03-16 14:50:43;2026-03-16 14:54:30;227;1;EN-GB;1;;;4;3;;;;;1;30
88;2026-03-16 14:51:32;2026-03-16 14:54:31;178;1;EN-GB;1;;;;;4;2;;;2;34
89;2026-03-16 14:52:39;2026-03-16 14:54:34;114;1;EN-GB;1;7;1;;;;;;;1;26
90;2026-03-16 14:52:21;2026-03-16 14:54:40;138;1;EN-GB;1;;;;;;;6;6;1;46
91;2026-03-16 14:53:17;2026-03-16 14:54:40;82;1;EN-GB;1;;;5;5;;;;;2;31
92;2026-03-16 14:52:09;2026-03-16 14:54:41;151;1;EN-GB;1;;;;;3;6;;;1;53
93;2026-03-16 14:50:57;2026-03-16 14:54:43;226;1;EN-GB;1;;;;;;;4;4;1;32
94;2026-03-16 14:51:46;2026-03-16 14:54:43;177;1;EN-GB;1;;;3;4;;;;;2;45
95;2026-03-16 14:50:33;2026-03-16 14:54:45;252;1;EN-GB;1;;;;;;;7;7;1;69
96;2026-03-16 14:53:27;2026-03-16 14:54:46;78;1;EN-GB;1;;;2;5;;;;;1;28
97;2026-03-16 14:49:31;2026-03-16 14:54:46;314;1;EN-GB;1;;;4;6;;;;;2;47
98;2026-03-16 14:51:03;2026-03-16 14:54:48;224;1;EN-GB;1;;;;;;;7;3;1;37
99;2026-03-16 14:51:55;2026-03-16 14:54:53;177;1;EN-GB;1;;;4;5;;;;;1;40
100;2026-03-16 14:53:17;2026-03-16 14:54:56;98;1;EN-GB;1;;;3;4;;;;;1;46
101;2026-03-16 14:52:12;2026-03-16 14:54:57;165;1;EN-GB;1;;;;;;;6;7;2;39
102;2026-03-16 14:51:14;2026-03-16 14:55:06;232;1;EN-GB;1;;;;;7;5;;;2;35
103;2026-03-16 14:50:35;2026-03-16 14:55:08;273;1;EN-GB;1;7;7;;;;;;;1;57
104;2026-03-16 14:53:21;2026-03-16 14:55:16;114;1;EN-GB;1;;;;;4;5;;;2;39
105;2026-03-16 14:53:18;2026-03-16 14:55:16;117;1;EN-GB;1;;;;;;;6;5;1;36
106;2026-03-16 14:52:32;2026-03-16 14:55:18;166;1;EN-GB;1;7;7;;;;;;;1;51
107;2026-03-16 14:50:36;2026-03-16 14:55:19;283;1;EN-GB;1;;;;;;;4;6;1;41
108;2026-03-16 14:53:51;2026-03-16 14:55:23;91;1;EN-GB;1;;;;;4;5;;;1;38
