ID,StartDate,EndDate,Duration (in seconds),Finished,UserLanguage,Consent,racism.12-pAction,12.2,racism.24-pAction,24.2,Gender,Age,Education
62,2026-03-17 13:04:21,2026-03-17 13:08:29,248,1,EN-GB,1,,1,,,1,36,2
63,2026-03-17 13:06:51,2026-03-17 13:08:38,106,1,EN-GB,1,1,,,,2,42,2
64,2026-03-17 13:05:22,2026-03-17 13:08:42,200,1,EN-GB,1,,,,1,1,28,4
65,2026-03-17 13:07:56,2026-03-17 13:09:29,92,1,EN-GB,1,,,1,,2,38,4
66,2026-03-17 13:06:10,2026-03-17 13:09:33,203,1,EN-GB,1,,1,,,1,61,4
67,2026-03-17 13:07:58,2026-03-17 13:09:41,103,1,EN-GB,1,,2,,,1,30,2
68,2026-03-17 13:06:52,2026-03-17 13:09:41,168,1,EN-GB,1,1,,,,1,64,3
69,2026-03-17 13:03:16,2026-03-17 13:10:02,405,1,EN-GB,1,,1,,,2,42,5
70,2026-03-17 13:07:48,2026-03-17 13:10:05,137,1,EN-GB,1,1,,,,2,47,4
71,2026-03-17 13:06:27,2026-03-17 13:10:06,218,1,EN-GB,1,,,,1,1,29,2
72,2026-03-17 13:07:29,2026-03-17 13:10:15,166,1,EN-GB,1,,,,1,2,22,3
73,2026-03-17 13:06:34,2026-03-17 13:10:20,225,1,EN-GB,1,,,,1,2,35,4
74,2026-03-17 13:08:00,2026-03-17 13:10:20,140,1,EN-GB,1,,,,3,2,41,4
75,2026-03-17 13:09:37,2026-03-17 13:10:28,50,1,EN-GB,1,,,,1,2,32,5
76,2026-03-17 13:08:29,2026-03-17 13:10:33,123,1,EN-GB,1,1,,,,1,26,3
77,2026-03-17 13:09:13,2026-03-17 13:10:36,82,1,EN-GB,1,1,,,,2,59,4
78,2026-03-17 13:08:50,2026-03-17 13:10:41,110,1,EN-GB,1,,,,1,1,40,2
79,2026-03-17 13:09:07,2026-03-17 13:10:41,94,1,EN-GB,1,,,,1,2,48,5
80,2026-03-17 13:09:00,2026-03-17 13:11:09,128,1,EN-GB,1,,1,,,2,38,2
81,2026-03-17 13:09:29,2026-03-17 13:11:20,110,1,EN-GB,1,,1,,,1,65,3
82,2026-03-17 13:08:36,2026-03-17 13:11:42,185,1,EN-GB,1,,1,,,2,35,4
83,2026-03-17 13:10:07,2026-03-17 13:11:51,103,1,EN-GB,1,1,,,,2,40,2
84,2026-03-17 13:10:53,2026-03-17 13:11:58,64,1,EN-GB,1,,,9,,1,43,4
85,2026-03-17 13:09:22,2026-03-17 13:12:15,172,1,EN-GB,1,,1,,,1,31,2
86,2026-03-17 13:10:33,2026-03-17 13:12:18,105,1,EN-GB,1,,,1,,1,31,4
87,2026-03-17 13:11:19,2026-03-17 13:12:29,69,1,EN-GB,1,,,,1,1,43,5
88,2026-03-17 13:10:01,2026-03-17 13:12:35,153,1,EN-GB,1,1,,,,2,25,4
89,2026-03-17 13:10:19,2026-03-17 13:13:25,186,1,EN-GB,1,,2,,,2,24,4
90,2026-03-17 13:09:12,2026-03-17 13:13:29,257,1,EN-GB,1,,1,,,1,37,2
91,2026-03-17 13:11:11,2026-03-17 13:13:32,140,1,EN-GB,1,,3,,,2,75,4
92,2026-03-17 13:11:59,2026-03-17 13:13:34,94,1,EN-GB,1,,,1,,2,40,4
93,2026-03-17 13:12:41,2026-03-17 13:13:37,55,1,EN-GB,1,,,,3,1,51,2
94,2026-03-17 13:12:08,2026-03-17 13:13:58,110,1,EN-GB,1,,,1,,2,60,3
95,2026-03-17 13:12:06,2026-03-17 13:14:00,113,1,EN-GB,1,,1,,,1,63,5
96,2026-03-17 13:11:51,2026-03-17 13:14:15,143,1,EN-GB,1,,,1,,1,55,4
97,2026-03-17 13:13:08,2026-03-17 13:15:17,128,1,EN-GB,1,,,,2,1,59,4
98,2026-03-17 13:09:28,2026-03-17 13:15:22,353,1,EN-GB,1,1,,,,1,67,3
99,2026-03-17 13:14:07,2026-03-17 13:15:34,87,1,EN-GB,1,,1,,,1,28,4
100,2026-03-17 13:13:50,2026-03-17 13:15:40,109,1,EN-GB,1,,,,1,1,48,4
101,2026-03-17 13:13:10,2026-03-17 13:15:43,153,1,EN-GB,1,,,,1,2,42,3
102,2026-03-17 13:14:33,2026-03-17 13:15:48,75,1,EN-GB,1,,,,1,1,35,2
103,2026-03-17 13:13:05,2026-03-17 13:15:53,168,1,EN-GB,1,,,,2,2,53,2
104,2026-03-17 13:11:02,2026-03-17 13:16:11,308,1,EN-GB,1,,1,,,1,31,4
105,2026-03-17 13:12:30,2026-03-17 13:16:59,269,1,EN-GB,1,,,,1,1,56,2
106,2026-03-17 13:15:13,2026-03-17 13:17:04,110,1,EN-GB,1,1,,,,1,29,5
107,2026-03-17 13:15:16,2026-03-17 13:17:12,116,1,EN-GB,1,1,,,,2,18,2
108,2026-03-17 13:14:49,2026-03-17 13:17:13,144,1,EN-GB,1,,,,1,2,37,3
109,2026-03-17 13:15:50,2026-03-17 13:17:33,103,1,EN-GB,1,,,1,,1,27,4
110,2026-03-17 13:15:51,2026-03-17 13:17:35,104,1,EN-GB,1,1,,,,1,24,4
111,2026-03-17 13:16:11,2026-03-17 13:17:44,92,1,EN-GB,1,,,,1,1,43,4
112,2026-03-17 13:16:27,2026-03-17 13:17:57,90,1,EN-GB,1,,,,1,1,46,4
113,2026-03-17 13:07:00,2026-03-17 13:18:02,661,1,EN-GB,1,,,,1,1,51,3
114,2026-03-17 13:14:54,2026-03-17 13:18:07,193,1,EN-GB,1,,2,,,2,32,2
115,2026-03-17 13:17:29,2026-03-17 13:18:23,53,1,EN-GB,1,,,1,,2,38,3
116,2026-03-17 13:16:52,2026-03-17 13:18:23,90,1,EN-GB,1,,,1,,2,27,4
117,2026-03-17 13:16:14,2026-03-17 13:18:29,135,1,EN-GB,1,,,,1,1,28,4
118,2026-03-17 13:17:18,2026-03-17 13:18:40,81,1,EN-GB,1,1,,,,1,23,2
119,2026-03-17 13:17:30,2026-03-17 13:18:47,76,1,EN-GB,1,,,1,,1,29,3
120,2026-03-17 13:17:20,2026-03-17 13:18:50,89,1,EN-GB,1,1,,,,2,31,4
121,2026-03-17 13:17:00,2026-03-17 13:18:55,114,1,EN-GB,1,,,1,,2,45,4
122,2026-03-17 13:13:32,2026-03-17 13:18:56,324,1,EN-GB,1,,,,1,2,57,2
123,2026-03-17 13:13:49,2026-03-17 13:18:58,308,1,EN-GB,1,,,1,,1,30,2
124,2026-03-17 13:16:05,2026-03-17 13:19:02,177,1,EN-GB,1,,1,,,1,34,7
125,2026-03-17 13:17:51,2026-03-17 13:19:35,103,1,EN-GB,1,1,,,,1,40,4
126,2026-03-17 13:17:38,2026-03-17 13:19:39,121,1,EN-GB,1,,,1,,2,45,4
127,2026-03-17 13:18:27,2026-03-17 13:19:40,73,1,EN-GB,1,,1,,,1,42,2
128,2026-03-17 13:17:58,2026-03-17 13:19:43,104,1,EN-GB,1,,,,1,2,37,4
129,2026-03-17 13:19:09,2026-03-17 13:20:31,82,1,EN-GB,1,1,,,,1,45,2
130,2026-03-17 13:16:50,2026-03-17 13:20:35,225,1,EN-GB,1,,,1,,1,64,4
131,2026-03-17 13:19:29,2026-03-17 13:20:39,69,1,EN-GB,1,,,1,,2,38,6
132,2026-03-17 13:18:08,2026-03-17 13:20:39,151,1,EN-GB,1,1,,,,2,35,5
133,2026-03-17 13:18:07,2026-03-17 13:20:44,156,1,EN-GB,1,,,,1,1,45,2
